127.0.0.1 - - [22/Jun/2025:21:35:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/mypage.do HTTP/1.1" 200 37491
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/img/button/three_mark.jpt.JPG HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/img/logo/aladin_logo.jpg HTTP/1.1" 200 5451
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/img/button/searchIcon.png HTTP/1.1" 200 9712
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/css/reset.css HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/css/mypage.css HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/css/common.css HTTP/1.1" 200 12673
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /aladin/script/login.js HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:34 +0900] "GET /aladin/index.do HTTP/1.1" 200 47399
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:35 +0900] "GET /aladin/css/main.css HTTP/1.1" 200 16207
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:35 +0900] "GET /aladin/script/eventSlider.js HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:35 +0900] "GET /aladin/script/miniAdvertise.js HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:35 +0900] "GET /aladin/script/bookFundSlider.js HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:35 +0900] "GET /aladin/script/smalSlider.js HTTP/1.1" 200 13765
0:0:0:0:0:0:0:1 - - [22/Jun/2025:21:35:35 +0900] "GET /aladin/script/slider.js HTTP/1.1" 200 20489
